           107450000, 00, 0, ff, 40
           107490000, 00, 0, 63, 40
           107510000, 63, 1, 63, 40
           107530000, 00, 0, 7c, 41
           107590000, 7c, 1, 7c, 41
           107610000, 00, 0, 84, 42
           107670000, 84, 1, 84, 42
           107690000, 00, 0, 9b, 43
           107750000, 9b, 1, 9b, 43
           107770000, 00, 0, 9d, 44
           107830000, 9d, 1, 9d, 44
           107850000, 00, 0, 55, 45
           107910000, 55, 1, 55, 45
           107930000, 00, 0, bd, 46
           107990000, bd, 1, bd, 46
           108010000, 00, 0, 2f, 47
           108070000, 2f, 1, 2f, 47
           108090000, 00, 0, 63, 48
           108130000, 00, 0, e3, 48
           108150000, e3, 1, e3, 48
           108170000, 00, 0, 12, 49
           108230000, 12, 1, 12, 49
           108250000, 00, 0, cb, 4a
           108310000, cb, 1, cb, 4a
           108330000, 00, 0, 7f, 4b
           108390000, 7f, 1, 7f, 4b
           108410000, 00, 0, e1, 4c
           108470000, e1, 1, e1, 4c
           108490000, 00, 0, e7, 4d
           108550000, e7, 1, e7, 4d
           108570000, 00, 0, 62, 4e
           108630000, 62, 1, 62, 4e
           108650000, 00, 0, 6f, 4f
           108710000, 6f, 1, 6f, 4f
           108730000, 00, 0, e3, 50
           108770000, 00, 0, 12, 50
           108790000, 12, 1, 12, 50
           108810000, 00, 0, bd, 51
           108870000, bd, 1, bd, 51
           108890000, 00, 0, f5, 52
           108950000, f5, 1, f5, 52
           108970000, 00, 0, 52, 53
           109030000, 52, 1, 52, 53
           109050000, 00, 0, 0f, 54
           109110000, 0f, 1, 0f, 54
           109130000, 00, 0, 47, 55
           109190000, 47, 1, 47, 55
           109210000, 00, 0, e6, 56
           109270000, e6, 1, e6, 56
           109290000, 00, 0, a0, 57
           109350000, a0, 1, a0, 57
           109370000, 00, 0, 12, 58
           109410000, 00, 0, 74, 58
           109430000, 74, 1, 74, 58
           109450000, 00, 0, e7, 59
           109510000, e7, 1, e7, 59
           109530000, 00, 0, 5a, 5a
           109590000, 5a, 1, 5a, 5a
           109610000, 00, 0, a8, 5b
           109670000, a8, 1, a8, 5b
           109690000, 00, 0, 5a, 5c
           109750000, 5a, 1, 5a, 5c
           109770000, 00, 0, 95, 5d
           109830000, 95, 1, 95, 5d
           109850000, 00, 0, db, 5e
           109910000, db, 1, db, 5e
           109930000, 00, 0, 94, 5f
           109990000, 94, 1, 94, 5f
           110010000, 00, 0, 74, 60
           110050000, 00, 0, 6f, 60
           110070000, 6f, 1, 6f, 60
           110090000, 00, 0, 43, 61
           110150000, 43, 1, 43, 61
           110170000, 00, 0, f6, 62
           110230000, f6, 1, f6, 62
           110250000, 00, 0, a1, 63
           110310000, a1, 1, a1, 63
           110330000, 00, 0, 1e, 64
           110390000, 1e, 1, 1e, 64
           110410000, 00, 0, a7, 65
           110470000, a7, 1, a7, 65
           110490000, 00, 0, d2, 66
           110550000, d2, 1, d2, 66
           110570000, 00, 0, 58, 67
           110630000, 58, 1, 58, 67
           110650000, 00, 0, 6f, 68
           110690000, 00, 0, 4c, 68
           110710000, 4c, 1, 4c, 68
           110730000, 00, 0, d5, 69
           110790000, d5, 1, d5, 69
           110810000, 00, 0, 87, 6a
           110870000, 87, 1, 87, 6a
           110890000, 00, 0, 3d, 6b
           110950000, 3d, 1, 3d, 6b
           110970000, 00, 0, d7, 6c
           111030000, d7, 1, d7, 6c
           111050000, 00, 0, 22, 6d
           111110000, 22, 1, 22, 6d
           111130000, 00, 0, 43, 6e
           111190000, 43, 1, 43, 6e
           111210000, 00, 0, 2a, 6f
           111270000, 2a, 1, 2a, 6f
           111290000, 00, 0, 4c, 70
           111330000, 00, 0, 75, 70
           111350000, 75, 1, 75, 70
           111370000, 00, 0, 20, 71
           111430000, 20, 1, 20, 71
           111450000, 00, 0, 00, 72
           111510000, 00, 1, 00, 72
           111530000, 00, 0, d1, 73
           111590000, d1, 1, d1, 73
           111610000, 00, 0, 95, 74
           111670000, 95, 1, 95, 74
           111690000, 00, 0, 5c, 75
           111750000, 5c, 1, 5c, 75
           111770000, 00, 0, 1d, 76
           111830000, 1d, 1, 1d, 76
           111850000, 00, 0, e0, 77
           111910000, e0, 1, e0, 77
           111930000, 00, 0, 75, 78
           111970000, 00, 0, fb, 78
           111990000, fb, 1, fb, 78
           112010000, 00, 0, 7d, 79
           112070000, 7d, 1, 7d, 79
           112090000, 00, 0, dd, 7a
           112150000, dd, 1, dd, 7a
           112170000, 00, 0, 63, 7b
           112230000, 63, 1, 63, 7b
           112250000, 00, 0, 8e, 7c
           112310000, 8e, 1, 8e, 7c
           112330000, 00, 0, 1e, 7d
           112390000, 1e, 1, 1e, 7d
           112410000, 00, 0, 20, 7e
           112470000, 20, 1, 20, 7e
           112490000, 00, 0, 48, 7f
           112550000, 48, 1, 48, 7f
           112570000, 00, 0, fb, 80
           112610000, 00, 0, 5b, 80
           112630000, 5b, 1, 5b, 80
           112650000, 00, 0, 8f, 81
           112710000, 8f, 1, 8f, 81
           112730000, 00, 0, d4, 82
           112790000, d4, 1, d4, 82
           112810000, 00, 0, d9, 83
           112870000, d9, 1, d9, 83
           112890000, 00, 0, 26, 84
           112950000, 26, 1, 26, 84
           112970000, 00, 0, fe, 85
